ADCMAP,1980,1684
ADCMAP,1984,1687
ADCMAP,1988,1691
ADCMAP,1992,1694
ADCMAP,1996,1698
ADCMAP,2000,1700
ADCMAP,2004,1704
ADCMAP,2008,1708
ADCMAP,2012,1711
ADCMAP,2016,1714
ADCMAP,2020,1718
ADCMAP,2024,1721
ADCMAP,2028,1725
ADCMAP,2032,1727
ADCMAP,2036,1732
ADCMAP,2040,1734
ADCMAP,2044,1739
ADCMAP,2048,1742
ADCMAP,2052,1745
ADCMAP,2056,1748
ADCMAP,2060,1750
ADCMAP,2064,1755
ADCMAP,2068,1757
ADCMAP,2072,1761
ADCMAP,2076,1764
ADCMAP,2080,1769
ADCMAP,2084,1772
ADCMAP,2088,1775
ADCMAP,2092,1778
ADCMAP,2096,1782
ADCMAP,2100,1785
ADCMAP,2104,1788
ADCMAP,2108,1791
ADCMAP,2112,1794
ADCMAP,2116,1798
ADCMAP,2120,1801
ADCMAP,2124,1805
ADCMAP,2128,1809
ADCMAP,2132,1812
ADCMAP,2136,1815
ADCMAP,2140,1819
ADCMAP,2144,1822
ADCMAP,2148,1825
ADCMAP,2152,1829
ADCMAP,2156,1833
ADCMAP,2160,1835
ADCMAP,2164,1838
ADCMAP,2168,1842
ADCMAP,2172,1844
ADCMAP,2176,1849
ADCMAP,2180,1852
ADCMAP,2184,1855
ADCMAP,2188,1858
ADCMAP,2192,1862
ADCMAP,2196,1865
ADCMAP,2200,1869
ADCMAP,2204,1873
ADCMAP,2208,1877
ADCMAP,2212,1878
ADCMAP,2216,1882
ADCMAP,2220,1886
ADCMAP,2224,1889
ADCMAP,2228,1892
ADCMAP,2232,1896
ADCMAP,2236,1899
ADCMAP,2240,1902
ADCMAP,2244,1905
ADCMAP,2248,1908
ADCMAP,2252,1912
ADCMAP,2256,1914
ADCMAP,2260,1920
ADCMAP,2264,1922
ADCMAP,2268,1925
ADCMAP,2272,1929
ADCMAP,2276,1933
ADCMAP,2280,1936
ADCMAP,2284,1939
ADCMAP,2288,1943
ADCMAP,2292,1945
ADCMAP,2296,1949
ADCMAP,2300,1952
ADCMAP,2304,1955
ADCMAP,2308,1959
ADCMAP,2312,1963
ADCMAP,2316,1966
ADCMAP,2320,1969
ADCMAP,2324,1973
ADCMAP,2328,1975
ADCMAP,2332,1979
ADCMAP,2336,1983
ADCMAP,2340,1985
ADCMAP,2344,1989
ADCMAP,2348,1993
ADCMAP,2352,1996
ADCMAP,2356,1999
ADCMAP,2360,2002
ADCMAP,2364,2005
ADCMAP,2368,2009
ADCMAP,2372,2012
ADCMAP,2376,2015
ADCMAP,2380,2019
ADCMAP,2384,2023
ADCMAP,2388,2026
ADCMAP,2392,2028
ADCMAP,2396,2032
ADCMAP,2400,2035
ADCMAP,2404,2039
ADCMAP,2408,2043
ADCMAP,2412,2045
ADCMAP,2416,2048
ADCMAP,2420,2052
ADCMAP,2424,2056
ADCMAP,2428,2058
ADCMAP,2432,2061
ADCMAP,2436,2065
ADCMAP,2440,2069
ADCMAP,2444,2072
ADCMAP,2448,2076
ADCMAP,2452,2078
ADCMAP,2456,2082
ADCMAP,2460,2085
ADCMAP,2464,2087
ADCMAP,2468,2091
ADCMAP,2472,2095
ADCMAP,2476,2098
ADCMAP,2480,2102
ADCMAP,2484,2105
ADCMAP,2488,2108
ADCMAP,2492,2113
ADCMAP,2496,2115
ADCMAP,2500,2119
ADCMAP,2504,2121
ADCMAP,2508,2126
ADCMAP,2512,2128
ADCMAP,2516,2132
ADCMAP,2520,2135
ADCMAP,2524,2137
ADCMAP,2528,2142
ADCMAP,2532,2144
ADCMAP,2536,2148
ADCMAP,2540,2150
ADCMAP,2544,2155
ADCMAP,2548,2157
ADCMAP,2552,2161
ADCMAP,2556,2164
ADCMAP,2560,2167
ADCMAP,2564,2171
